year,USA,Canada,Germany,Australia,UK,Switzerland,Japan,Sweden,Norway,Average
1972,3.2729518445811845,4.775029839252154,5.495646530829812,5.864982709034194,7.19114936390608,6.660192363871431,4.632149122497031,5.9999999990658415,7.217144662427466,5.979536823860501
1973,6.258720345211866,7.6115433932368415,6.995075485353741,9.46589482246154,9.346330248217294,8.755052838582866,11.458337329644209,6.676342547015368,7.4466000648146125,8.469397091165808
1974,11.011067336332836,10.864743684554256,6.963626250132404,15.110148819813606,15.731515477129253,9.766733157350526,24.5327137545855,9.931972752811213,9.420025537490574,12.790184929233416
1975,9.141601892251593,10.81331533747334,5.939955489687265,15.071972798936638,22.70049841959494,6.696465077280611,11.81988452611693,9.777227736072058,11.68430699681311,11.81295329774686
1976,5.774887744653867,7.508138612205983,4.296597996254636,13.523923652833325,15.657311665432982,1.715862326650952,9.39597319501373,10.372040585666964,9.170957413887315,8.955100680993235
1977,6.469555043439956,7.991036265127249,3.691078013584259,12.300241669392475,14.942528728708048,1.285261405208038,7.97545890643232,11.338100095841419,9.063568006157464,8.57340913630641
1978,7.629914763690437,8.912839984368492,2.686203388917785,7.92366276649652,7.4722222276086825,1.0558018212471154,3.8352310762767905,10.091743132042774,8.153672589085792,6.266422123255494
1979,9.482758623304255,9.144538607309617,4.115979159178229,9.090001538075775,11.372447649487638,3.6476438267035727,3.556770920033503,7.16666666202832,4.772806034333454,6.608356799643763
1980,11.19860017902261,10.183101440911347,5.420362812596458,10.12657285330909,15.154328155144947,4.022032821781729,8.05812413238658,13.608087085460685,10.896206740293835,9.683602005235583
1981,9.44138472100462,12.462393326926025,6.3250011435044495,9.691754380607986,11.809754134965367,6.490230689600196,4.889971510751501,12.11498974308698,13.66711772414586,9.681401581698545
1982,6.03882100157338,10.80336818511951,5.2668700285444014,11.145507019303702,8.11103099812851,5.655205636272265,2.6806548801354246,8.547008550176894,11.342592597137235,7.944029736852242
1983,4.271186436939423,5.816152549540665,3.2760035033748025,10.113560353860219,4.934978330065842,2.967690326109862,1.8161174320791673,8.942632170373589,8.411048418264677,5.784772885458603
1984,4.161248369793746,4.33882234586338,2.4079011077438928,3.9501867355685283,4.258023514397591,2.915180068816081,2.229654720367269,8.002065041746143,6.2791079843661946,4.297617689858635
1985,3.4332084960738696,3.9509348271946854,2.1823303556092855,6.739043422146018,4.92227979677522,3.4424721108289758,1.9629245040070575,7.361376676092468,5.665824623398552,4.528398289506533
